Time (min)	Area (pixel^2)	Normalized 
0.0	161284.5	1.0
15.0	147480.5	0.9144121102771811
30.0	124949.5	0.7747148672067061
45.0	117239.0	0.7269080413802939
60.0	99134.0	0.6146529889729019
75.0	88755.0	0.5503008658612576
90.0	84521.0	0.524049118173166
105.0	77194.0	0.4786200781848225
120.0	74979.0	0.46488658240562486
135.0	71319.0	0.4421937631948513
150.0	66117.5	0.40994329895309223
165.0	64183.5	0.3979520660695851
180.0	57164.0	0.35442959490837617
195.0	54318.5	0.336786858005574
210.0	57252.5	0.3549783147171613
225.0	50703.5	0.3143730488670641
240.0	49952.5	0.3097166807721759
255.0	43839.0	0.2718116123992076
270.0	43878.0	0.2720534211285027
285.0	44183.5	0.27394758950798126
300.0	42268.0	0.26207106076529363
315.0	43346.0	0.26875490205196406
330.0	35638.5	0.22096667689703597
345.0	36961.0	0.22916647290967204
360.0	32383.0	0.20078184822472092
375.0	30492.5	0.18906032507773532
390.0	29445.5	0.18256869072973533
405.0	25091.0	0.15556981607036013
420.0	26662.0	0.16531036770427412
435.0	20110.0	0.1246865011826927
450.0	18690.0	0.11588218334681882
465.0	17325.5	0.1074219779334034
480.0	18737.5	0.11617669397865263
495.0	17373.5	0.10771958867715124
510.0	15416.0	0.09558265053368427
525.0	14704.5	0.09117119128000521
540.0	12897.5	0.0799673868226643
555.0	11749.0	0.07284642975611419
570.0	11170.0	0.06925650015965576
585.0	9759.5	0.06051108445014865
600.0	9413.5	0.0583658070056329
615.0	8776.0	0.05441316431523178
630.0	8592.0	0.053272323130865024
645.0	9382.0	0.058170499955048374
660.0	7762.0	0.04812613735355847
675.0	6682.5	0.041432995731145894
690.0	5698.5	0.035331975484314986
705.0	5025.0	0.031156124736102974
720.0	4875.5	0.030229191273804985
735.0	5258.5	0.032603876999959695
750.0	3764.0	0.023337642488893848
765.0	2926.5	0.01814495503287669
780.0	2949.5	0.018287560180922532
795.0	905.5	0.005614302676326615
810.0	937.5	0.005812709838825181
825.0	2827.5	0.017531132873896748
840.0	801.0	0.0049663792862922355
855.0	569.5	0.0035310274700916704
870.0	567.5	0.00351862702243551
885.0	582.0	0.003608530267942673
900.0	411.5	0.0025513921052549996
915.0	540.0	0.0033481208671633047
930.0	879.5	0.005453096856796531
945.0	301.0	0.0018662673722521382
960.0	198.5	0.0012307444298739183
975.0	636.5	0.003946442466573043
990.0	526.5	0.003264417845484222
1005.0	659.5	0.004089047614618888
1020.0	386.5	0.0023963865095529948
1035.0	427.5	0.0026505956865042826
1050.0	350.0	0.002170078339828068
1065.0	615.5	0.003816237766183359
1080.0	554.5	0.0034380241126704676
1095.0	608.0	0.003769736087472758
1110.0	598.0	0.003707733849191956
1125.0	376.5	0.0023343842712721928
1140.0	91.5	0.0005673204802693377
1155.0	100.5	0.0006231224947220595
1170.0	85.0	0.0005270190253868164
1185.0	167.0	0.0010354373792893924
1200.0	61.0	0.0003782136535128918
1215.0	91.0	0.0005642203683552976
1230.0	294.0	0.001822865805455577
1245.0	324.0	0.0020088725202979827
1260.0	353.5	0.0021917791232263484
1275.0	86.0	0.0005332192492148967
1290.0	90.5	0.0005611202564412576
1305.0	56.0	0.0003472125343724909
1320.0	144.0	0.0008928322312435479
1335.0	218.5	0.0013547489064355224
1350.0	269.0	0.0016678602097535721
1365.0	356.0	0.002207279682796549
1380.0	539.0	0.0033419206433352245
1395.0	480.0	0.002976107437478493
1410.0	608.5	0.0037728361993867978
1425.0	967.5	0.005998716553667588
1440.0	506.0	0.003137313257008578
1455.0	502.0	0.003112512361696257
1470.0	479.0	0.002969907213650413
1485.0	125.0	0.0007750279785100242
1500.0	88.5	0.0005487198087850972
1515.0	293.5	0.0018197656935415368
1530.0	537.5	0.0033326203075931043
1545.0	365.5	0.002266181809163311
1560.0	28.5	0.00017670637910028553
1575.0	108.5	0.000672724285346701
1590.0	198.0	0.0012276443179598784
1605.0	57.5	0.00035651287011461113
1620.0	59.5	0.0003689133177707715
1635.0	26.5	0.00016430593144412512
1650.0	125.5	0.0007781280904240643
1665.0	215.0	0.0013330481230372417
1680.0	161.5	0.0010013361482349512
1695.0	297.5	0.0018445665888538576
1710.0	225.5	0.0013981504732320836
1725.0	370.5	0.0022971829283037117
1740.0	317.5	0.0019685710654154614
1755.0	52.0	0.00032241163906017006
1770.0	315.0	0.001953070505845261
1785.0	88.0	0.0005456196968710571
1800.0	306.5	0.0019003686033065793
1815.0	27.5	0.00017050615527220531
1830.0	182.5	0.0011315408486246353
1845.0	451.0	0.0027963009464641673
1860.0	99.5	0.0006169222708939792
1875.0	110.5	0.0006851247330028614
1890.0	83.5	0.0005177186896446962
1905.0	135.0	0.0008370302167908262
1920.0	160.0	0.000992035812492831
1935.0	147.0	0.0009114329027277885
1950.0	195.0	0.0012090436464756377
1965.0	173.5	0.0010757388341719135
1980.0	33.5	0.00020770749824068648
1995.0	35.0	0.00021700783398280677
2010.0	45.0	0.0002790100722636087
2025.0	62.0	0.000384413877340972
2040.0	49.0	0.0003038109675759295
2055.0	4.0	2.4800895312320775e-05
2070.0	66.0	0.0004092147726532928
2085.0	12.0	7.440268593696232e-05
2100.0	46.5	0.000288310408005729
2115.0	76.0	0.00047121701093409473
2130.0	24.5	0.00015190548378796474
2145.0	50.5	0.0003131113033180498
2160.0	259.5	0.0016089580833868102
2175.0	299.5	0.001856967036510018
2190.0	89.0	0.0005518199206991372
2205.0	320.5	0.001987171736899702
