Time (min)	Area (pixel^2)	Normalized 
0.0	96093.0	1.0
15.0	73737.0	0.7673503793200337
30.0	65082.0	0.6772813836595798
45.0	47281.0	0.4920337589626716
60.0	41145.5	0.42818415493324175
75.0	35299.0	0.367342054051804
90.0	27101.0	0.28202886786758663
105.0	25785.5	0.2683390049223148
120.0	20805.5	0.21651421019220962
135.0	18223.0	0.18963920368809384
150.0	10376.0	0.10797872893967303
165.0	9236.5	0.09612042500494312
180.0	8575.0	0.08923646883748036
195.0	9538.5	0.09926321376166838
210.0	6583.0	0.06850655094543827
225.0	6902.0	0.07182625165204541
240.0	5788.0	0.060233315642138345
255.0	4973.0	0.05175194863309502
270.0	4006.0	0.0416887806604019
285.0	623.5	0.006488505926550321
300.0	3253.0	0.0338526219391631
315.0	813.0	0.008460553838468983
330.0	543.0	0.0056507758109331585
345.0	753.0	0.0078361587212388
360.0	222.5	0.002315465226395263
375.0	198.0	0.002060503886859605
390.0	294.5	0.003064739367071483
405.0	225.0	0.002341481689613187
420.0	214.0	0.0022270092514543203
435.0	153.0	0.0015922075489369673
450.0	173.0	0.0018003392546803616
465.0	458.5	0.004771419354167317
480.0	399.0	0.004152227529580718
495.0	265.5	0.002762948393743561
510.0	178.5	0.0018575754737597953
525.0	132.5	0.001378872550549988
540.0	43.5	0.00045268645999188285
555.0	245.0	0.0025496133953565817
570.0	281.0	0.0029242504656946918
585.0	655.5	0.006821516655739752
600.0	138.0	0.0014361087696294216
615.0	60.0	0.0006243951172301833
630.0	39.0	0.0004058568261996191
645.0	5.5	5.723621907943347e-05
660.0	18.0	0.00018731853516905497
675.0	122.5	0.0012748066976782909
690.0	1.0	1.0406585287169721e-05
705.0	83.5	0.0008689498714786717
720.0	0.0	0.0
735.0	0.0	0.0
750.0	0.0	0.0
765.0	0.0	0.0
780.0	86.5	0.0009001696273401808
795.0	75.5	0.000785697189181314
810.0	141.5	0.0014725318181345154
825.0	55.0	0.0005723621907943346
840.0	5.5	5.723621907943347e-05
855.0	36.5	0.0003798403629816948
870.0	41.5	0.0004318732894175434
885.0	114.5	0.0011915540153809331
900.0	73.0	0.0007596807259633897
915.0	3.5	3.6423048505094025e-05
930.0	27.5	0.0002861810953971673
945.0	0.0	0.0
960.0	0.0	0.0
975.0	0.0	0.0
990.0	5.5	5.723621907943347e-05
1005.0	0.0	0.0
1020.0	0.0	0.0
1035.0	0.0	0.0
1050.0	0.0	0.0
1065.0	0.0	0.0
1080.0	0.0	0.0
1095.0	80.0	0.0008325268229735777
1110.0	0.0	0.0
1125.0	0.0	0.0
1140.0	8.5	8.845597494094263e-05
1155.0	0.0	0.0
1170.0	0.0	0.0
1185.0	0.0	0.0
1200.0	0.0	0.0
1215.0	0.0	0.0
1230.0	0.0	0.0
1245.0	0.0	0.0
1260.0	0.0	0.0
1275.0	0.0	0.0
1290.0	0.0	0.0
1305.0	19.5	0.00020292841309980955
1320.0	0.0	0.0
1335.0	0.0	0.0
1350.0	0.0	0.0
1365.0	0.0	0.0
1380.0	0.0	0.0
1395.0	0.0	0.0
1410.0	0.0	0.0
1425.0	0.0	0.0
1440.0	0.0	0.0
1455.0	0.0	0.0
1470.0	0.0	0.0
1485.0	16.0	0.00016650536459471554
1500.0	0.0	0.0
1515.0	0.0	0.0
1530.0	0.0	0.0
1545.0	0.0	0.0
1560.0	0.0	0.0
1575.0	0.0	0.0
1590.0	11.0	0.00011447243815886693
1605.0	0.0	0.0
1620.0	0.0	0.0
1635.0	0.0	0.0
1650.0	0.0	0.0
1665.0	0.0	0.0
1680.0	0.0	0.0
1695.0	0.0	0.0
1710.0	0.0	0.0
1725.0	0.0	0.0
1740.0	0.0	0.0
1755.0	0.0	0.0
1770.0	0.0	0.0
1785.0	0.0	0.0
1800.0	0.0	0.0
1815.0	0.0	0.0
1830.0	0.0	0.0
1845.0	0.0	0.0
1860.0	0.0	0.0
1875.0	0.0	0.0
1890.0	0.0	0.0
1905.0	0.0	0.0
1920.0	0.0	0.0
1935.0	0.0	0.0
1950.0	0.0	0.0
1965.0	0.0	0.0
1980.0	0.0	0.0
1995.0	0.0	0.0
2010.0	0.0	0.0
2025.0	0.0	0.0
2040.0	0.0	0.0
2055.0	0.0	0.0
2070.0	0.0	0.0
2085.0	0.0	0.0
2100.0	0.0	0.0
2115.0	0.0	0.0
2130.0	0.0	0.0
2145.0	0.0	0.0
2160.0	0.0	0.0
2175.0	0.0	0.0
2190.0	0.0	0.0
2205.0	0.0	0.0
2220.0	0.0	0.0
2235.0	0.0	0.0
2250.0	0.0	0.0
2265.0	0.0	0.0
2280.0	0.0	0.0
2295.0	0.0	0.0
2310.0	0.0	0.0
2325.0	0.0	0.0
2340.0	0.0	0.0
2355.0	0.0	0.0
2370.0	0.0	0.0
2385.0	0.0	0.0
2400.0	0.0	0.0
2415.0	0.0	0.0
2430.0	0.0	0.0
2445.0	0.0	0.0
2460.0	0.0	0.0
2475.0	0.0	0.0
2490.0	0.0	0.0
2505.0	9.0	9.365926758452749e-05
2520.0	14.5	0.00015089548666396096
2535.0	168.5	0.001753509620888098
2550.0	63.5	0.0006608181657352773
2565.0	72.0	0.0007492741406762199
2580.0	75.0	0.0007804938965377291
2595.0	82.5	0.0008585432861915019
2610.0	142.5	0.0014829384034216852
2625.0	30.0	0.00031219755861509164
2640.0	0.0	0.0
2655.0	0.0	0.0
2670.0	0.0	0.0
